N_clients,Global_iter,Local_iter,Rank,Loss,Acc,Precision,Recall,F1-score,FN,Time
100,200,30,2,3.3241422176361084,0.7531739711825953,0.8438233630926881,0.8706791378609191,0.8570409175557373,0.12932086213908092,129.68498277664185
200,200,30,2,3.1810011863708496,0.7910062052075665,0.8519252034130481,0.9126898527149602,0.8812613104790521,0.08731014728503987,178.20748615264893
300,200,30,2,3.0123236179351807,0.7882717069579458,0.860538961810803,0.8960517707799212,0.8779363869447717,0.10394822922007886,220.36098098754883
400,200,30,2,2.90114688873291,0.8484306684495996,0.866249467992875,0.9716569124953587,0.9159305310177007,0.028343087504641335,263.34311294555664
500,200,30,2,2.890968084335327,0.8377781450486049,0.8686160786209118,0.9532860653853634,0.908983620929468,0.04671393461463656,304.62826442718506
600,200,30,2,2.7669992446899414,0.8550265186231351,0.874150528028587,0.9688809519599696,0.9190812039281132,0.031119048040030413,346.6083924770355
700,200,30,2,2.590970516204834,0.8588578211157354,0.8781449944676961,0.968262107254628,0.921004389579374,0.03173789274537193,390.97635436058044
800,200,30,2,2.71502685546875,0.8597593040551708,0.8790880629365015,0.9681206570362643,0.9214587435418454,0.0318793429637357,433.39051818847656
900,200,30,2,2.7245845794677734,0.8647475096533798,0.8847305146999337,0.9667945612391039,0.9239438999662047,0.033205438760896086,476.5589601993561
1000,200,30,2,2.608461856842041,0.8655137701518999,0.8855486086364962,0.9666707922980357,0.9243332347098356,0.03332920770196439,518.4434103965759
